Key = key-370, Value = value-8611003614900965347, Score = 2
Key = key-429, Value = value-5982059853088016941, Score = 2
Key = key-430, ValueA = , ValueB = value-2008025292819878165, Score = 1
Key = key-430, ValueA = , ValueB = value-8357166510604152940, Score = 1
Key = key-430, ValueA = , ValueB = value-6700384629831920990, Score = 1
Key = key-430, ValueA = , ValueB = value-3184663773114207876, Score = 1
Key = key-430, ValueA = , ValueB = value-3086566466248686363, Score = 1
Key = key-430, ValueA = , ValueB = value-5810029195259354313, Score = 1
Key = key-430, ValueA = , ValueB = value-7208436287121818021, Score = 1
Key = key-430, ValueA = , ValueB = value-5857359460356788841, Score = 1
Key = key-430, ValueA = , ValueB = value-6913728661209247364, Score = 1
Key = key-430, ValueA = , ValueB = value-310329670521808452, Score = 1
Key = key-430, ValueA = , ValueB = value-934179786188229291, Score = 1
Key = key-430, ValueA = , ValueB = value-4779284792818364620, Score = 1
Key = key-430, ValueA = , ValueB = value-2578359419591168887, Score = 1
Key = key-430, ValueA = , ValueB = value-9128491421907235111, Score = 1
Key = key-430, ValueA = , ValueB = value-45959376573652960, Score = 1
Key = key-430, ValueA = , ValueB = value-4205857065711350374, Score = 1
Key = key-430, Value = value-2008025292819878165, Score = 2
Key = key-433, ValueA = , ValueB = value-6794040048823765812, Score = 1
Key = key-433, ValueA = , ValueB = value-6005203733996648129, Score = 1
Key = key-433, ValueA = , ValueB = value-2630287562858880766, Score = 1
Key = key-433, ValueA = , ValueB = value-2483904337338769362, Score = 1
Key = key-433, ValueA = , ValueB = value-3537385908147340518, Score = 1
Key = key-433, ValueA = , ValueB = value-5029812804939325824, Score = 1
Key = key-433, ValueA = , ValueB = value-5822994312669302594, Score = 1
Key = key-433, ValueA = , ValueB = value-2463442221394785705, Score = 1
Key = key-433, ValueA = , ValueB = value-5033522597879187694, Score = 1
Key = key-433, ValueA = , ValueB = value-6465652401404594724, Score = 1
Key = key-433, ValueA = , ValueB = value-2465101465689555461, Score = 1
Key = key-433, ValueA = , ValueB = value-2263861348382792389, Score = 1
Key = key-433, ValueA = , ValueB = value-2089431609361120500, Score = 1
Key = key-676, ValueA = , ValueB = value-4616833507918830177, Score = 1
Key = key-676, ValueA = , ValueB = value-223609021532518519, Score = 1
Key = key-676, ValueA = , ValueB = value-8608592462086704212, Score = 1
Key = key-676, ValueA = , ValueB = value-1698732228234939743, Score = 1
Key = key-676, ValueA = , ValueB = value-1396045046810353150, Score = 1
Key = key-676, ValueA = , ValueB = value-8146863367561065483, Score = 1
Key = key-676, ValueA = , ValueB = value-4588351416854519217, Score = 1
Key = key-676, ValueA = , ValueB = value-6900604326394480406, Score = 1
Key = key-676, ValueA = , ValueB = value-6475774839460833301, Score = 1
Key = key-676, ValueA = , ValueB = value-1728087637910177869, Score = 1
Key = key-676, Value = value-4616833507918830177, Score = 2
Key = key-434, ValueA = , ValueB = value-7217254795020207509, Score = 1
Key = key-434, ValueA = , ValueB = value-6695554254200915187, Score = 1
Key = key-434, ValueA = , ValueB = value-4474594320029945484, Score = 1
Key = key-434, ValueA = , ValueB = value-6219316270110195927, Score = 1
Key = key-434, ValueA = , ValueB = value-4910923759621934131, Score = 1
Key = key-434, ValueA = , ValueB = value-9211278369355909498, Score = 1
Key = key-434, ValueA = , ValueB = value-453983515028088254, Score = 1
Key = key-434, Value = value-7217254795020207509, Score = 2
Key = key-431, ValueA = , ValueB = value-8300020426740078605, Score = 1
Key = key-431, ValueA = , ValueB = value-8432672233417358666, Score = 1
Key = key-431, ValueA = , ValueB = value-3425891021545754808, Score = 1
Key = key-431, ValueA = , ValueB = value-2697400947275885657, Score = 1
Key = key-431, ValueA = , ValueB = value-3371004907945098915, Score = 1
Key = key-431, ValueA = , ValueB = value-7053613841574109610, Score = 1
Key = key-431, ValueA = , ValueB = value-753650408062591437, Score = 1
Key = key-431, ValueA = , ValueB = value-7479923115026696579, Score = 1
Key = key-431, ValueA = , ValueB = value-6530046035444430744, Score = 1
Key = key-431, ValueA = , ValueB = value-6573595605727808387, Score = 1
Key = key-431, ValueA = , ValueB = value-2163877733796078720, Score = 1
Key = key-673, ValueA = , ValueB = value-3471917680027071848, Score = 1
Key = key-673, ValueA = , ValueB = value-2461383346151793647, Score = 1
Key = key-673, ValueA = , ValueB = value-2837940356969095481, Score = 1
Key = key-673, ValueA = , ValueB = value-7274316211575397451, Score = 1
Key = key-673, ValueA = , ValueB = value-6661031189589799186, Score = 1
Key = key-673, ValueA = , ValueB = value-4690757247018809335, Score = 1
Key = key-673, ValueA = , ValueB = value-6796455745211122024, Score = 1
Key = key-673, ValueA = , ValueB = value-1009320372185917090, Score = 1
Key = key-673, ValueA = , ValueB = value-8302093570011084478, Score = 1
Key = key-679, Value = value-7131103385564340488, Score = 2
Key = key-185, ValueA = , ValueB = value-3779843730940259987, Score = 1
Key = key-726, ValueA = , ValueB = value-8886670653674890340, Score = 1
Key = key-726, ValueA = , ValueB = value-8028496971664699622, Score = 1
Key = key-726, ValueA = , ValueB = value-3920844204811188920, Score = 1
Key = key-112, Value = value-4806682766174460227, Score = 2
Key = key-726, ValueA = , ValueB = value-7444758161270810903, Score = 1
Key = key-185, ValueA = , ValueB = value-915895664057283247, Score = 1
Key = key-726, ValueA = , ValueB = value-2331128662913950349, Score = 1
Key = key-185, ValueA = , ValueB = value-3484138329412020042, Score = 1
Key = key-726, ValueA = , ValueB = value-5642877518499279221, Score = 1
Key = key-726, ValueA = , ValueB = value-7195057792765658665, Score = 1
Key = key-185, ValueA = , ValueB = value-2450176929632809701, Score = 1
Key = key-726, Value = value-8886670653674890340, Score = 2
Key = key-185, ValueA = , ValueB = value-5782875726870110387, Score = 1
Key = key-185, ValueA = , ValueB = value-6449569812136868164, Score = 1
Key = key-185, ValueA = , ValueB = value-2323074223136504543, Score = 1
Key = key-185, ValueA = , ValueB = value-3529694715863732134, Score = 1
Key = key-185, ValueA = , ValueB = value-4748419753006880476, Score = 1
Key = key-185, ValueA = , ValueB = value-3214950499381285449, Score = 1
Key = key-185, ValueA = , ValueB = value-8346503793809544544, Score = 1
Key = key-185, Value = value-3779843730940259987, Score = 2
Key = key-972, Value = value-2874155881015247074, Score = 2
Key = key-189, ValueA = , ValueB = value-3501814355100882658, Score = 1
Key = key-189, ValueA = , ValueB = value-5352437936794305001, Score = 1
Key = key-730, Value = value-4831854566547567694, Score = 2
Key = key-189, ValueA = , ValueB = value-2835017801909870776, Score = 1
Key = key-189, ValueA = , ValueB = value-1609871953283707391, Score = 1
Key = key-189, ValueA = , ValueB = value-2098014417740827202, Score = 1
Key = key-113, ValueA = , ValueB = value-2701841428426759327, Score = 1
Key = key-113, ValueA = , ValueB = value-4559961896474740880, Score = 1
Key = key-113, ValueA = , ValueB = value-2842239690406499683, Score = 1
Key = key-113, ValueA = , ValueB = value-2155239972233263375, Score = 1
Key = key-113, ValueA = , ValueB = value-7857340749399467162, Score = 1
Key = key-113, Value = value-2701841428426759327, Score = 2
Key = key-973, ValueA = , ValueB = value-8545267905769081535, Score = 1
Key = key-973, ValueA = , ValueB = value-3134825889058579391, Score = 1
Key = key-973, ValueA = , ValueB = value-2936722080629326757, Score = 1
Key = key-973, ValueA = , ValueB = value-9195270253738859026, Score = 1
Key = key-973, ValueA = , ValueB = value-6458728645911961286, Score = 1
Key = key-355, Value = value-5752532541225885829, Score = 2
Key = key-973, ValueA = , ValueB = value-4333136246059813212, Score = 1
Key = key-196, Value = value-7974733514004062005, Score = 2
Key = key-970, ValueA = , ValueB = value-6603194045603753592, Score = 1
Key = key-970, ValueA = , ValueB = value-5764368710924314730, Score = 1
Key = key-970, ValueA = , ValueB = value-7273109908139311797, Score = 1
Key = key-597, ValueA = , ValueB = value-717406011017784479, Score = 1
Key = key-970, ValueA = , ValueB = value-2078693879446326583, Score = 1
Key = key-597, ValueA = , ValueB = value-3981459929817064872, Score = 1
Key = key-970, ValueA = , ValueB = value-6215406009763132536, Score = 1
Key = key-970, ValueA = , ValueB = value-1022410386236662681, Score = 1
Key = key-597, ValueA = , ValueB = value-8040030797296543920, Score = 1
Key = key-970, ValueA = , ValueB = value-534332584041203048, Score = 1
Key = key-597, ValueA = , ValueB = value-3113794875080982718, Score = 1
Key = key-597, ValueA = , ValueB = value-2831815739196820218, Score = 1
Key = key-970, ValueA = , ValueB = value-7986437620491647875, Score = 1
Key = key-597, ValueA = , ValueB = value-1513876961401958772, Score = 1
Key = key-970, ValueA = , ValueB = value-6938429904703418943, Score = 1
Key = key-197, Value = value-8222435909793130284, Score = 2
Key = key-970, ValueA = , ValueB = value-4795985241288681803, Score = 1
Key = key-597, ValueA = , ValueB = value-8710980744297613459, Score = 1
Key = key-597, ValueA = , ValueB = value-4058160726992962890, Score = 1
Key = key-970, Value = value-6603194045603753592, Score = 2
Key = key-597, ValueA = , ValueB = value-5815607973309381022, Score = 1
Key = key-597, ValueA = , ValueB = value-7722474841889420918, Score = 1
Key = key-597, Value = value-717406011017784479, Score = 2
Key = key-118, ValueA = , ValueB = value-5147615493356583261, Score = 1
Key = key-971, ValueA = , ValueB = value-5087536244239314043, Score = 1
Key = key-118, ValueA = , ValueB = value-1992171777367489926, Score = 1
Key = key-971, ValueA = , ValueB = value-1273388532454558194, Score = 1
Key = key-118, ValueA = , ValueB = value-8714494219265536010, Score = 1
Key = key-971, ValueA = , ValueB = value-6328703804334618327, Score = 1
Key = key-118, ValueA = , ValueB = value-7456619085497689103, Score = 1
Key = key-971, ValueA = , ValueB = value-4995420729409151696, Score = 1
Key = key-561, ValueA = , ValueB = value-7338099796662137049, Score = 1
Key = key-118, ValueA = , ValueB = value-5906529764784210200, Score = 1
Key = key-561, ValueA = , ValueB = value-749827998284119475, Score = 1
Key = key-118, ValueA = , ValueB = value-5382047850399532108, Score = 1
Key = key-561, ValueA = , ValueB = value-8621570833430494791, Score = 1
Key = key-118, ValueA = , ValueB = value-8535508662077562919, Score = 1
Key = key-561, ValueA = , ValueB = value-2051451303337187087, Score = 1
Key = key-118, ValueA = , ValueB = value-2647367092465649648, Score = 1
Key = key-561, ValueA = , ValueB = value-8509729502816188551, Score = 1
Key = key-118, ValueA = , ValueB = value-7516261375601821862, Score = 1
Key = key-561, ValueA = , ValueB = value-8360466027024852195, Score = 1
Key = key-118, ValueA = , ValueB = value-7302172414242506965, Score = 1
Key = key-118, ValueA = , ValueB = value-5104967462537956448, Score = 1
Key = key-118, ValueA = , ValueB = value-8505099990537813450, Score = 1
Key = key-734, Value = value-6177968487706119596, Score = 2
Key = key-976, Value = value-4661709143128817488, Score = 2
Key = key-119, ValueA = , ValueB = value-1240390057582050342, Score = 1
Key = key-119, ValueA = , ValueB = value-4289586095697508879, Score = 1
Key = key-119, ValueA = , ValueB = value-5134985367662589355, Score = 1
Key = key-119, ValueA = , ValueB = value-1078093236597378410, Score = 1
Key = key-119, ValueA = , ValueB = value-1918744334256623965, Score = 1
Key = key-119, ValueA = , ValueB = value-9183720122361736759, Score = 1
Key = key-119, ValueA = , ValueB = value-5343985925963414899, Score = 1
Key = key-119, ValueA = , ValueB = value-7760095730829384989, Score = 1
Key = key-119, ValueA = , ValueB = value-2539412345912039581, Score = 1
Key = key-562, ValueA = , ValueB = value-3108423608241266507, Score = 1
Key = key-119, ValueA = , ValueB = value-8788556173875201937, Score = 1
Key = key-562, ValueA = , ValueB = value-3293153853026136605, Score = 1
Key = key-119, ValueA = , ValueB = value-7627401978603455985, Score = 1
Key = key-562, ValueA = , ValueB = value-6705579044427449412, Score = 1
Key = key-119, ValueA = , ValueB = value-5493253403827817740, Score = 1
Key = key-562, ValueA = , ValueB = value-6841129197567025332, Score = 1
Key = key-119, Value = value-1240390057582050342, Score = 2
Key = key-562, ValueA = , ValueB = value-1798745507506790493, Score = 1
Key = key-562, ValueA = , ValueB = value-5221653150521989476, Score = 1
Key = key-562, ValueA = , ValueB = value-9062089542510032852, Score = 1
Key = key-562, ValueA = , ValueB = value-4391191436439611575, Score = 1
Key = key-562, ValueA = , ValueB = value-30323203753453317, Score = 1
Key = key-562, ValueA = , ValueB = value-7794420766432716418, Score = 1
Key = key-977, ValueA = , ValueB = value-7700045003081014721, Score = 1
Key = key-977, ValueA = , ValueB = value-1046437037041569896, Score = 1
Key = key-358, ValueA = , ValueB = value-1706074893290525017, Score = 1
Key = key-977, ValueA = , ValueB = value-5339219306228213899, Score = 1
Key = key-358, ValueA = , ValueB = value-7194976496521036644, Score = 1
Key = key-560, ValueA = , ValueB = value-3133680132137816820, Score = 1
Key = key-977, Value = value-7700045003081014721, Score = 2
Key = key-358, ValueA = , ValueB = value-3835050273816760156, Score = 1
Key = key-560, ValueA = , ValueB = value-136579300607684619, Score = 1
Key = key-358, ValueA = , ValueB = value-1118808211772658330, Score = 1
Key = key-560, ValueA = , ValueB = value-6137162690378305699, Score = 1
Key = key-358, ValueA = , ValueB = value-7370770406160249406, Score = 1
Key = key-560, ValueA = , ValueB = value-4603935794728183571, Score = 1
Key = key-358, ValueA = , ValueB = value-7784389551833718983, Score = 1
Key = key-560, ValueA = , ValueB = value-2473813368329213911, Score = 1
Key = key-560, ValueA = , ValueB = value-8667333236310148384, Score = 1
Key = key-560, ValueA = , ValueB = value-1396376109209463840, Score = 1
Key = key-560, ValueA = , ValueB = value-8374805740449585175, Score = 1
Key = key-560, ValueA = , ValueB = value-4526844069032105259, Score = 1
Key = key-560, Value = value-3133680132137816820, Score = 2
Key = key-735, Value = value-8644104220404794174, Score = 2
Key = key-565, ValueA = , ValueB = value-5470491603723914650, Score = 1
Key = key-565, ValueA = , ValueB = value-306694145304055000, Score = 1
Key = key-565, ValueA = , ValueB = value-6714522853952620852, Score = 1
Key = key-565, ValueA = , ValueB = value-4565970381443559383, Score = 1
Key = key-565, ValueA = , ValueB = value-4577147679744665738, Score = 1
Key = key-565, ValueA = , ValueB = value-8566808123604670838, Score = 1
Key = key-565, ValueA = , ValueB = value-1660719595990679658, Score = 1
Key = key-565, ValueA = , ValueB = value-5149950623116024682, Score = 1
Key = key-732, ValueA = , ValueB = value-1921100019243622807, Score = 1
Key = key-732, ValueA = , ValueB = value-1586129149534145134, Score = 1
Key = key-732, ValueA = , ValueB = value-1838239936864271970, Score = 1
Key = key-732, ValueA = , ValueB = value-391950952473966789, Score = 1
Key = key-732, ValueA = , ValueB = value-2271499257671373381, Score = 1
Key = key-732, ValueA = , ValueB = value-5367686439384979992, Score = 1
Key = key-732, ValueA = , ValueB = value-4407724877477989064, Score = 1
Key = key-732, ValueA = , ValueB = value-7478081451323207996, Score = 1
Key = key-732, ValueA = , ValueB = value-5167222544651995070, Score = 1
Key = key-732, ValueA = , ValueB = value-196469228336134525, Score = 1
Key = key-732, ValueA = , ValueB = value-6180489769102638535, Score = 1
Key = key-732, ValueA = , ValueB = value-9025644756436676438, Score = 1
Key = key-732, ValueA = , ValueB = value-6016142402851494139, Score = 1
Key = key-359, ValueA = , ValueB = value-99233073821376580, Score = 1
Key = key-359, ValueA = , ValueB = value-2903756499914488285, Score = 1
Key = key-359, ValueA = , ValueB = value-955532204673736180, Score = 1
Key = key-359, ValueA = , ValueB = value-8448394083302107356, Score = 1
Key = key-359, Value = value-99233073821376580, Score = 2
Key = key-974, ValueA = , ValueB = value-3483436508226806358, Score = 1
Key = key-974, ValueA = , ValueB = value-5240307064014327905, Score = 1
Key = key-974, ValueA = , ValueB = value-1655768907709307233, Score = 1
Key = key-974, ValueA = , ValueB = value-6983256564005590379, Score = 1
Key = key-974, ValueA = , ValueB = value-2633445492646995806, Score = 1
Key = key-117, Value = value-4156501450526254886, Score = 2
Key = key-324, ValueA = , ValueB = value-6070494524645938657, Score = 1
Key = key-324, ValueA = , ValueB = value-6111019834708017204, Score = 1
Key = key-324, ValueA = , ValueB = value-3779334209431073708, Score = 1
Key = key-324, ValueA = , ValueB = value-2609837972577407136, Score = 1
Key = key-324, ValueA = , ValueB = value-7016577238945142725, Score = 1
Key = key-324, ValueA = , ValueB = value-4319570445598251776, Score = 1
Key = key-324, ValueA = , ValueB = value-2322572899346684744, Score = 1
Key = key-324, ValueA = , ValueB = value-3515910008801567298, Score = 1
Key = key-324, ValueA = , ValueB = value-4391125207975776422, Score = 1
Key = key-324, ValueA = , ValueB = value-3369111321996060051, Score = 1
Key = key-324, ValueA = , ValueB = value-6712002342089771970, Score = 1
Key = key-324, Value = value-6070494524645938657, Score = 2
Key = key-566, Value = value-8985563637648703932, Score = 2
Key = key-760, Value = value-5304844445066634474, Score = 2
Key = key-563, ValueA = , ValueB = value-5969301192193394421, Score = 1
Key = key-563, ValueA = , ValueB = value-8273426045270680490, Score = 1
Key = key-563, ValueA = , ValueB = value-7158822231599905704, Score = 1
Key = key-563, ValueA = , ValueB = value-8982150210010954798, Score = 1
Key = key-563, ValueA = , ValueB = value-6537207105161450208, Score = 1
Key = key-563, ValueA = , ValueB = value-2985021221916663777, Score = 1
Key = key-563, ValueA = , ValueB = value-6877627510808652347, Score = 1
Key = key-563, Value = value-5969301192193394421, Score = 2
Key = key-763, ValueA = , ValueB = value-2003181402273074479, Score = 1
Key = key-763, ValueA = , ValueB = value-2006239507697960593, Score = 1
Key = key-763, ValueA = , ValueB = value-855031448624963605, Score = 1
Key = key-763, ValueA = , ValueB = value-7099621253525648395, Score = 1
Key = key-763, ValueA = , ValueB = value-8746139809038255524, Score = 1
Key = key-978, ValueA = , ValueB = value-6159911852620431838, Score = 1
Key = key-978, ValueA = , ValueB = value-7884339552900722506, Score = 1
Key = key-978, ValueA = , ValueB = value-8262306677648709215, Score = 1
Key = key-978, ValueA = , ValueB = value-9137682718995253933, Score = 1
Key = key-978, ValueA = , ValueB = value-7169274440044081578, Score = 1
Key = key-978, ValueA = , ValueB = value-6678156820456501633, Score = 1
Key = key-564, ValueA = , ValueB = value-3150556210436274236, Score = 1
Key = key-564, ValueA = , ValueB = value-7734767020998811277, Score = 1
Key = key-564, ValueA = , ValueB = value-1611892978610067561, Score = 1
Key = key-564, ValueA = , ValueB = value-6417685851595795626, Score = 1
Key = key-564, ValueA = , ValueB = value-2639637462392823432, Score = 1
Key = key-564, ValueA = , ValueB = value-7647395894441465253, Score = 1
Key = key-564, ValueA = , ValueB = value-1465426409074378719, Score = 1
Key = key-564, ValueA = , ValueB = value-8843967713228609795, Score = 1
Key = key-564, ValueA = , ValueB = value-4217616396992813075, Score = 1
Key = key-564, ValueA = , ValueB = value-70740643252682818, Score = 1
Key = key-564, Value = value-3150556210436274236, Score = 2
Key = key-736, Value = value-1439372761004977047, Score = 2
Key = key-327, Value = value-5439982553173729616, Score = 2
Key = key-737, Value = value-279543284724767594, Score = 2
Key = key-569, ValueA = , ValueB = value-7166647125967893955, Score = 1
Key = key-569, ValueA = , ValueB = value-9102216201365675155, Score = 1
Key = key-569, ValueA = , ValueB = value-8291910932901216138, Score = 1
Key = key-569, ValueA = , ValueB = value-1540564774260358389, Score = 1
Key = key-569, ValueA = , ValueB = value-7041498358872616796, Score = 1
Key = key-569, ValueA = , ValueB = value-268476125955949363, Score = 1
Key = key-569, ValueA = , ValueB = value-2947650187124344391, Score = 1
Key = key-569, ValueA = , ValueB = value-169408525132087115, Score = 1
Key = key-569, ValueA = , ValueB = value-7407952037624108425, Score = 1
Key = key-569, ValueA = , ValueB = value-6668164134522617663, Score = 1
Key = key-569, Value = value-7166647125967893955, Score = 2
Key = key-979, ValueA = , ValueB = value-2408087103492961015, Score = 1
Key = key-979, ValueA = , ValueB = value-6044722552655580177, Score = 1
Key = key-979, ValueA = , ValueB = value-5032430521297322995, Score = 1
Key = key-979, ValueA = , ValueB = value-3556404460624679073, Score = 1
Key = key-979, ValueA = , ValueB = value-2032506673931453636, Score = 1
Key = key-979, ValueA = , ValueB = value-8706420308040644560, Score = 1
Key = key-979, ValueA = , ValueB = value-2578407080888059408, Score = 1
Key = key-979, ValueA = , ValueB = value-8570324728110484128, Score = 1
Key = key-979, ValueA = , ValueB = value-4619744319833044886, Score = 1
Key = key-328, ValueA = , ValueB = value-617517754716672463, Score = 1
Key = key-328, ValueA = , ValueB = value-2708979348498973992, Score = 1
Key = key-328, ValueA = , ValueB = value-265179475613526580, Score = 1
Key = key-328, ValueA = , ValueB = value-1678296540859378087, Score = 1
Key = key-328, ValueA = , ValueB = value-5988137556531763284, Score = 1
Key = key-328, ValueA = , ValueB = value-8262345265314809288, Score = 1
Key = key-328, ValueA = , ValueB = value-9057593245025193269, Score = 1
Key = key-328, ValueA = , ValueB = value-4826972502995312913, Score = 1
Key = key-328, Value = value-617517754716672463, Score = 2
Key = key-762, Value = value-6547662073375403444, Score = 2
Key = key-707, ValueA = , ValueB = value-7089645197574892026, Score = 1
Key = key-707, ValueA = , ValueB = value-3036791674740987486, Score = 1
Key = key-707, ValueA = , ValueB = value-7269771784653840706, Score = 1
Key = key-707, ValueA = , ValueB = value-6089542883906073847, Score = 1
Key = key-707, ValueA = , ValueB = value-3297395469113727404, Score = 1
Key = key-567, ValueA = , ValueB = value-834934770390767008, Score = 1
Key = key-707, Value = value-7089645197574892026, Score = 2
Key = key-567, ValueA = , ValueB = value-1679421762335787720, Score = 1
Key = key-567, ValueA = , ValueB = value-745683823004008123, Score = 1
Key = key-567, ValueA = , ValueB = value-7034189996336627825, Score = 1
Key = key-567, ValueA = , ValueB = value-423211537071142087, Score = 1
Key = key-567, ValueA = , ValueB = value-8949314179384946240, Score = 1
Key = key-567, ValueA = , ValueB = value-3945068237257645668, Score = 1
Key = key-567, ValueA = , ValueB = value-8452777311301980632, Score = 1
Key = key-949, ValueA = , ValueB = value-1659949147176771707, Score = 1
Key = key-949, ValueA = , ValueB = value-2728004479023439412, Score = 1
Key = key-949, ValueA = , ValueB = value-471466859750748459, Score = 1
Key = key-949, ValueA = , ValueB = value-5992897511638509013, Score = 1
Key = key-949, ValueA = , ValueB = value-1082674582537457925, Score = 1
Key = key-949, ValueA = , ValueB = value-4872412173844065117, Score = 1
Key = key-708, Value = value-7266510327475105159, Score = 2
Key = key-767, Value = value-9088677288734220193, Score = 2
Key = key-568, ValueA = , ValueB = value-7308261412749598693, Score = 1
Key = key-568, ValueA = , ValueB = value-4337992938041907855, Score = 1
Key = key-568, ValueA = , ValueB = value-9087374247350721944, Score = 1
Key = key-568, ValueA = , ValueB = value-3930394424157980559, Score = 1
Key = key-568, ValueA = , ValueB = value-5653977586311502561, Score = 1
Key = key-568, ValueA = , ValueB = value-197236098573815825, Score = 1
Key = key-568, ValueA = , ValueB = value-8205353917670605910, Score = 1
Key = key-568, ValueA = , ValueB = value-5164797767665414247, Score = 1
Key = key-568, ValueA = , ValueB = value-5834805374650615181, Score = 1
Key = key-568, ValueA = , ValueB = value-6699493449502675998, Score = 1
Key = key-568, ValueA = , ValueB = value-6299167591674004655, Score = 1
Key = key-525, ValueA = , ValueB = value-881490078121862151, Score = 1
Key = key-525, ValueA = , ValueB = value-4679877752734630988, Score = 1
Key = key-525, ValueA = , ValueB = value-8949504618586121047, Score = 1
Key = key-525, ValueA = , ValueB = value-4015018971723496225, Score = 1
Key = key-525, ValueA = , ValueB = value-5180797698155483693, Score = 1
Key = key-525, ValueA = , ValueB = value-4414466431259788602, Score = 1
Key = key-329, ValueA = , ValueB = value-8921327964678312275, Score = 1
Key = key-525, ValueA = , ValueB = value-5864007173708842489, Score = 1
Key = key-525, ValueA = , ValueB = value-675860793595063644, Score = 1
Key = key-525, ValueA = , ValueB = value-2670814403457277385, Score = 1
Key = key-329, ValueA = , ValueB = value-4067091160080955899, Score = 1
Key = key-525, ValueA = , ValueB = value-6360734141353433943, Score = 1
Key = key-329, ValueA = , ValueB = value-1451281021163476231, Score = 1
Key = key-435, ValueA = , ValueB = value-2683509647088093964, Score = 1
Key = key-525, ValueA = , ValueB = value-5399308625957335027, Score = 1
Key = key-329, ValueA = , ValueB = value-1135937888371011843, Score = 1
Key = key-435, ValueA = , ValueB = value-1602564354940595405, Score = 1
Key = key-329, ValueA = , ValueB = value-1089559805368991147, Score = 1
Key = key-525, Value = value-881490078121862151, Score = 2
Key = key-435, ValueA = , ValueB = value-816464558050264748, Score = 1
Key = key-329, ValueA = , ValueB = value-5487089754599588831, Score = 1
Key = key-435, ValueA = , ValueB = value-458727933370757296, Score = 1
Key = key-329, ValueA = , ValueB = value-5895745701426630853, Score = 1
Key = key-435, ValueA = , ValueB = value-1549928752640235878, Score = 1
Key = key-329, ValueA = , ValueB = value-8229683992462871550, Score = 1
Key = key-435, ValueA = , ValueB = value-9071544261345395927, Score = 1
Key = key-329, Value = value-8921327964678312275, Score = 2
Key = key-435, ValueA = , ValueB = value-8195931184534375280, Score = 1
Key = key-435, ValueA = , ValueB = value-1346526834425915942, Score = 1
Key = key-435, Value = value-2683509647088093964, Score = 2
Key = key-436, ValueA = , ValueB = value-3497236169384406993, Score = 1
Key = key-436, ValueA = , ValueB = value-2562545861046183097, Score = 1
Key = key-436, ValueA = , ValueB = value-4296213374615408216, Score = 1
Key = key-436, ValueA = , ValueB = value-5611325528877890826, Score = 1
Key = key-436, ValueA = , ValueB = value-3519050807350494884, Score = 1
Key = key-436, Value = value-3497236169384406993, Score = 2
Key = key-580, Value = value-5872267989192041818, Score = 2
Key = key-526, ValueA = , ValueB = value-1958249443618151854, Score = 1
Key = key-526, ValueA = , ValueB = value-5204880423456763554, Score = 1
Key = key-526, ValueA = , ValueB = value-4140542286895732478, Score = 1
Key = key-526, ValueA = , ValueB = value-1427272020292284385, Score = 1
Key = key-526, ValueA = , ValueB = value-6132994039998578597, Score = 1
Key = key-526, ValueA = , ValueB = value-5833427179247456554, Score = 1
Key = key-526, ValueA = , ValueB = value-4903000264462458260, Score = 1
Key = key-526, ValueA = , ValueB = value-3309692972453651152, Score = 1
Key = key-526, Value = value-1958249443618151854, Score = 2
Key = key-572, ValueA = , ValueB = value-1507645744430747649, Score = 1
Key = key-572, ValueA = , ValueB = value-8568761556678849337, Score = 1
Key = key-572, ValueA = , ValueB = value-7024618472085238935, Score = 1
Key = key-572, ValueA = , ValueB = value-7389904134499943136, Score = 1
Key = key-572, ValueA = , ValueB = value-7176535252306730936, Score = 1
Key = key-572, ValueA = , ValueB = value-2284445120836650406, Score = 1
Key = key-572, ValueA = , ValueB = value-3902535034227497599, Score = 1
Key = key-572, ValueA = , ValueB = value-1792114768859839109, Score = 1
Key = key-572, ValueA = , ValueB = value-1491035535311123815, Score = 1
Key = key-572, ValueA = , ValueB = value-6834442428036992783, Score = 1
Key = key-572, Value = value-1507645744430747649, Score = 2
Key = key-768, ValueA = , ValueB = value-8247423024498281745, Score = 1
Key = key-768, ValueA = , ValueB = value-4007475250608453647, Score = 1
Key = key-768, ValueA = , ValueB = value-3121021682448816023, Score = 1
Key = key-768, ValueA = , ValueB = value-6058670524020249111, Score = 1
Key = key-768, ValueA = , ValueB = value-5289953142446719929, Score = 1
Key = key-768, ValueA = , ValueB = value-5086765502475694405, Score = 1
Key = key-768, ValueA = , ValueB = value-9083373313008087286, Score = 1
Key = key-768, ValueA = , ValueB = value-2824379156885591606, Score = 1
Key = key-768, ValueA = , ValueB = value-9898144080061395, Score = 1
Key = key-768, ValueA = , ValueB = value-332341452203816605, Score = 1
Key = key-768, ValueA = , ValueB = value-6313671425788705357, Score = 1
Key = key-768, ValueA = , ValueB = value-3120383321761953600, Score = 1
Key = key-768, ValueA = , ValueB = value-4269194292453144015, Score = 1
Key = key-608, Value = value-2843872582813893769, Score = 2
Key = key-573, ValueA = , ValueB = value-8096593274790994444, Score = 1
Key = key-573, ValueA = , ValueB = value-3258249530604042339, Score = 1
Key = key-573, ValueA = , ValueB = value-9089674389469395866, Score = 1
Key = key-573, ValueA = , ValueB = value-7927270999488044319, Score = 1
Key = key-573, Value = value-8096593274790994444, Score = 2
Key = key-943, Value = value-8478960867696461350, Score = 2
